Tên tiếng Việt,Tên khoa học,Tên đồng nghĩa,Họ thực vật,Công dụng,Phân bố,Mùa hoa quả
"Rau diếp, Xà lách",Lactuca sativa L. var. longifolia Lam.,0,Asteraceae,"Thông sữa, lợi tiểu, sát trùng; thuốc gây ngủ trong bệnh viêm khí quản, hen suyễn. Cũng được dùng chữa bỏng và vết loét. Rau diếp còn được dùng chống suy nhược tâm thần hay đánh trống ngực, co giật nơi tạng, chứng đau dạ dày, di mộng tinh, mất ngủ, ho, ho gà, đái đường, bệnh sởi, viêm thận vàng da, hành kinh đau bụng, sung huyết gan, táo bón.",Cây trồng khắp nơi.,III-IV
Mộc nhĩ trắng,Tremella fuciformis Berk.,0,Tremellaceae,"Suy thận, táo bón, huyết áp cao, viêm dạ dày, đau bụng, kinh nguyệt không đều, ỉa ra máu, bí đại tiểu tiện.","Lào Cai, Quảng Ninh. Cây mọc tự nhiên.",0
"Bạch lực, Lõa châu biển",Gymnosporia diversifolia Maxim. – Maytenus diversifolias (Maxim.) Ding Hou,0,Celastraceae,"Phong tê thấp, bổ thận (Vỏ, rễ).",Cây mọc tự nhiên trên núi đá vôi ven biển tỉnh Quảng Ninh.,I-VI; 8-12
Linh đồi,Eurya groffi Merr. – Eurya acuminata DC. var. groffi (Merr.) Kobusski,0,Theaceae,Lá chữa ho và vết thương do va đập.,"Lai Châu, Lào Cai, Quảng Ninh, Vĩnh Phúc (Tam Đảo), Kon Tum. Cây mọc tự nhiên, ở độ cao dưới 2.000 m.",XI-XII 
"Ngải lá kim, Nhân trần Trung Quốc",Artemisia capillaris Thunb.,0,Asteraceae,"Sốt vàng da, viêm gan, xơ gan, mụn nhọt, ghẻ ngứa (cả cây).","Lào Cai (Sa Pa), Lâm Đồng (Đà Lạt). Cây thường được trồng.",IX-X; 10-12
"Rong mái chèo, Tóc tiên nước",Vallisneria natans (Lour.) H. Hara – Physkium natans Lour.,0,Hydrocharitaceae,"Bạch đới, khí hư (cả cây).","Ninh Bình, đồng bằng Nam Bộ. Cây mọc tự nhiên, phổ biến trong ruộng lúa, hồ dọc duyên hải",0
"Kính , Đơn nhật",Maesa japonica (Thunb.) Moritzi ex Zoll. – Doraena japonica Thunb.,0,Myrsinaceae,Chữa ho (Lá). Lậu (Rễ). Ghẻ lở (Lá nấu nước tắm),0,0
"Móng rồng, hoa móng rồng.",Artabotrys hexapetalus (L.f.) Bhand. – Annona hexapetala L.f. ,0,Na (Annonaceae),"Ỉa chảy, càm máu vết thương, tràng nhạc (Lá).","Cây mọc tự nhiên, còn được trồng trong các đền chùa, nhất là ở Miền Bắc Việt Nam.",Tháng IV-VIII; 7-10
"Hoàng kỳ, Co nấm mò (Thái)",Astragalus propinquus Schischkin – Astragalus membranaceus (Fisch.) Bunge,0,Fabaceae,"Chữa sốt, đái đường, đái đục, lở loét, phong thấp, suy nhược cơ thể, lở loét mãn tính (Rễ).",Lào Cai. Cây nhập trồng,0
"Gõ nước, Bần ôi",Intsia bijuga (Colebr.) Kuntze,"Macrolobium bijugum Colebr., Afzelia cambodiensis Hance",Vang – Caesalpiniaceae,Làm thuốc nhuận tràng (quả).,"Bình Dương (Thủ Dầu Một), Bà Rịa-Vũng Tàu (Côn Đảo), Long An (Rạch Cát), Kiên Giang (Phú Quốc).","Hoa tháng 2 – 5, quả tháng 5 – 11. "
"Song nhĩ trườn, Sláy ma lưng (Sán Chay)",Diodia sarmentosa Sw.,0,Cà phê – Rubiaceae,Chữa nhiệt loét miệng (rễ).,Hoang dại hóa ở nhiều nơi.,0
"Đũng, Ngổ sến phống, Bàn tay ma, Mạ xưa phân thuỳ, Đìa chụn, Đia doãn, Phượng hoàng",Heliciopsis lobata (Merr.) Sleum. – Helicia lobata Merr.,0,Proteaceae,"Chữa lao hạch, đau xương, đái vàng (Rễ ngâm rượu hoặc sắc uống). Sán sơ mít (Lá). Phong tê thấp, lao hạch, viêm gan siêu vi trùng (toàn cây)","Cao Bằng, Lạng Sơn, Thái Nguyên, VĨnh Phúc, Ninh Bình, Nghệ An. Cây mọc tự nhiên trong rừng già",0
Bứa mủ vàng,Garcinia xanthochymus Hook.f. ex T. Anderson,0,Clusiaceae,Chữa bệnh scorbut (Quả). Con đỉa chui vào mũi (Mủ tươi nhỏ vào).,Miền Nam. Cây mọc tự nhiên,0
"Đỗ trọng dây, Mặc sang hoa nhỏ",Parabarium micranthum (Wall.) Pierre ex Spire – Echites micrantha Wall.,0,Apocynaceae,"Chữa phong thấp, trẻ em tê liệt.","Lào Cai (Sa Pa), Thanh Hoá, Nghệ An, Gia Lai, Ninh Thuận. Cây mọc tự nhiên trong rừng thưa",0
"Thâm bếp ,Tứ thư bần",Tetrastigma tonkinense Gagnep.,0,Vitaceae,Bó gãy xương (Rễ).Ninh Bình.,Ninh Bình. Cây mọc tự nhiên.,IV
Trúc bắc bộ,Pseudosasa amabilis (McClure) Keng f. – Arundinaria amabilis Mc Clure,0,Poaceae,"Chữa đau dạ dày, giun sán, đầy hơi trướng bụng, đau khớp (Dịch cây).",Miền Bắc Việt Nam. Cây mọc tự nhiên.,0
"Sâm cau, Ngải cau, Tiên mao, Cồ nốc lan, Sâm đỏ, Thài lèng, Soọng cà (Tày), Nam sáng ton (Dao)",Curculigo orchioides Gaertn.,0,Hypoxidaceae,"Bổ thận, cao huyết áp, tê thấp, ỉa chảy, kích dục (Rễ sắc uống).","Lao Cai, Hà Tây, Hoà Bình, Hải Dương, Nghệ An, Quảng Trị, Thừa Thiên Huế, Kon Tum. Cây mọc tự nhiên trên đồi cỏ, trảng cây bụi, ven suối, hốc đá.",V-VII
"Điều nhuộm, Châm phù, Xiêm phụng, Kham tay (Tày)",Bixa orellana L. ,0,Điều nhuộm (Bixaceae),"Chữa lỵ, táo bón (Cơm quả). Hen, hủi, rắn cắn (Lá). Thuốc sát trùng.",Cây trồng ở vùng Tây Nguyên và một số nơi khác. Nguồn gốc từ Châu Mỹ.,IX-X
"Củ ấu.Tên gọi khác: Lăng mác, Mác coóc (Tày)",Trapa bicornis Osbeck var. cochinchinensis (Lour.) Gluck. ex Steen. – Trapa natans L.,0,Ấu (Trapaceae),"Giải độc, chữa sài giật, cảm sốt, đau đầu và trừ rôm sảy (Quả). Vỏ chữa loét dạ dày, loét tử cung. Toàn cây chữa trẻ em sài đầu, giải độc rượu và làm sáng mắt.",Cây mọc tự nhiên và trồng trong các ao hồ.,V-IX
"Mao tử tàu, Củ đậu dại",Eriosema chinense Vogel,0,Fabaceae,"Bổ mát, ho gió, ho khan, viêm đường hô hấp, áp xe phổi, lỵ (Rễ củ).","Cây mọc tự nhiên, thường ở các rừng thưa, các savan, dọc đường đi trên đất cát từ vùng thấp tới vùng cao, phổ biến ở Việt Nam.",V-VII 
"Găng cơm, Găng lá nhỏ, Cẩm xà lặc, Găng cốm, Găng hoa nhỏ, Căng cườm, Nam càng",Canthium parvifolium Roxb. – Canthium horridum Benth.,0,Rubiaceae,"Chữa kiết lỵ (Vỏ, cành lá non). Giun (Rễ).","Quảng Trị, Thừa Thiên Huế, Quảng Nam, Đà Nẵng, Khánh Hòa, Đồng Nai. Cây mọc tự nhiên ở ven rừng, bãi hoang, thường dựa biển.",III-VI
Tai voi lông móc câu,Chirita hamosa R. Br.,0,Gesneriaceae,"Lợi tiểu, rắn cắn (cả cây).","Miền Bắc tới Hà Tiên. Cây mọc tự nhiên trên núi đá vôi, ở độ cao 300-1.000m",III – VIII; 7-10
"Thiên cân lực, Sung leo lông",Ficus villosa Blume,0,Moraceae,Bổ gân cốt (Rễ ngâm rượu uống).,"Lạng Sơn, Hà Giang, Nghệ An, Kon Tum, Gia Lai. Cây mọc tự nhiên trong rừng ẩm thường xanh, nơi sáng, nơi ngập nước, dựa suối.",3-5
"Thau mủng, Dây quạch bắc bộ",Bauhinia coccinea (Lour.) DC. ssp. tonkinensis (Gagnep.) K. & S. Larsen,0,Caesalpiniaceae.,Đái ra máu (Thân).,"Yên Bái, Tuyên Quang, Thái Nguyên, Bắc Giang, Phú Thọ, Hà Nội, Hòa Bình. Cây mọc tự nhiên ở lùm bụi ven đường, ven rừng.",II-IV
Mật khẩu mũi,Cleisostoma rostratum (Lindl.) Garay – Sarcanthus rostratus Lindl.,0,Orchidaceae,"Phong thấp đau xương, ngoại thương (cả cây).","Lào Cai, Hoà Bình, Khánh Hòa, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên, bám trên các cây gỗ lớn trong rừng, ở độ cao 400-1.600 m.",0
"Thiên lý quang trắng, Vi hoàng lông",Senecio nagensium C. B. Clarke,0,Asteraceae,"Viêm bàng quang cấp tính, viêm thận thuỷ thũng, cảm mạo, sốt cao, đái đỏ, đái dắt, viêm khí quản, giun đũa, đau dạ dày ruột (Rễ, cả cây).","Lai Châu, Lao Cai (Sa Pa), Hà Giang, Sơn La. Cây mọc tự nhiên trên các trảng cỏ và trảng cây bụi, ở độ cao 1000-2100 m.",7-12
"Mây tất, Mây lá liễu",Calamus salicifolius Becc.,0,Arecaceae,"Lỵ, sốt, bệnh gan mật (Rễ).",Cây mọc phổ biến ở các rừng thưa Nam bộ.,I-VII; 2
Đoản kiếm nhiều hoa,Cymbidium floribundum Lindl.,0,Lan – Orchidaceae,"Chữa ho do phế nhiệt, viêm họng, đòn ngã tổn thương (hành giả).",Vĩnh Phúc.,Tháng 4 – 8. 
hông đuôi ngựa,Pinus massoniana Lamb.,0,Pinaceae,"Viêm bàng quang, viêm niệu đạo, viêm thận, đau nhức khớp xương (Lá). Eczema, viêm mủ da (Nhựa). Loét dạ dày, tá tràng (Nón).","Lạng Sơn, Quảng Ninh, Vĩnh Phúc (Tam Đảo). Cây nhập trồng.",IV-XII
"Bạc hà, Nạt nặm, Bạc hà nam, Chạ phiăc chom (Tày)",Mentha arvensis L.,0,Lamiaceae,"Thuốc làm nóng, sát trùng, dễ tiêu, chữa cảm cúm, nhức đầu sổ mũi, đau bụng (Lá).",Cây trồng.,VII-X
Dương địa hoàng trắng,Digitalis lanata Ehrh.,0,Scrophulariaceae,Chữa bệnh tim (Lá chứa digitalin).,Lao Cai. Cây nhập trồng. Nguồn gốc từ Địa Trung Hải.,VI-VII
Nghể sợi lông ngắn,Antenoron neofiliforme (Nakai) Hara,0,Polygonaceae,"Chữa đau dạ dày, đau lưng, đau bụng kinh, kiết lỵ (cả cây).","Hà Giang (Mèo Vạc). Cây mọc tự nhiên dưới tán rừng xanh, ven nương rẫy, rừng cây bụi",0
"Lòng mực lông, Lòng mức trái to",Wrightia laevis Hook. f.,0,Apocynaceae,"Ho, hoàng đản, phù, đái đục, bạch đới, tràng nhạc (Rễ, vỏ).","Lào Cai (Sa Pa), Yên Bái, Tuyên Quang, Ninh Bình, Thanh Hoá. Cây mọc tự nhiên dưới tán rừng, ở độ cao tới 500 m.","V-VIII, 8-3 "
"Săng de, Lãnh công Quảng tây",Fissistigma shangtzeense Y. Tsiang et P.T. Li,0,Annonaceae,Hậu sản (cả cây). Làm se vết thương.,"Lạng Sơn (Mẫu Sơn), Quảng Nam (Tây Giang). Cây mọc tự nhiên rải rác trong rừng nguyên sinh, vùng núi đất, ở độ cao 800-900 m.",IX-XII; 1-4
Cói quăn,Fimbristylis aestivalis (Retz.) Vahl – Scirpus aestivalis Retz.,0,Cói (Cyperaceae),Chữa bệnh ngoài da (cả cây).,"Cây mọc tự nhiên từ vùng núi, đồng bằng, ven biển, hải đảo, phổ biến ở Việt Nam.",4-12
"Hồ liên, Mức hoa trắng nhỏ",Holarrhena crassifolia Pierre ex Spire – H. curtisii King & Gamble,0,Apocynaceae,Chữa lỵ (Vỏ).,"Quảng Trị, Gia Lai, Bình Dương, Bà Rịa Vũng Tàu. Cây mọc tự nhiên ven rừng thưa, trảng cây bụi.","III-VIII, 3-12"
"Trúc lan, Lan trúc",Arundina graminifolia (D.Don) Hochr. – Bletia graminifolia D.Don,0,Orchidaceae,"Viêm gan, vàng da; bệnh đường tiết niệu, phù thũng; phong thấp, đòn ngã tổn thương, đau bụng, bệnh thần kinh (cảcây).","Lao Cai, Vĩnh Phúc (Tam Đảo), Cao Bằng. Cây mọc tự nhiên, rải rác ven rừng thưa.",V-X 
"Sả lùn, Sả màu",Cymbopogon coloratus (Nees) Stapf,0,Poaceae,Dùng cất tinh dầu.,"Cây mọc tự nhiên, còn được trồng",0
Quan âm núi,Vitex negundo L. var. cannabifolia (Sieb. et Zucc.) Hand._ Mazz. – Vitex cannabifolia Sieb. et Zucc.,0,Verbenaceae,"Giải nhiệt, cảm, sốt rét, viêm ruột, lỵ, viêm đường sinh dục, viêm da có mủ, tiêu đờm, bạch đới (Lá sắc uống). Quả chữa ho, hen suyễn, đau thượng vị, viêm ruột, rối loạn tiêu hóa. Rễ chữa viêm phế quản, viêm gan.","Bến Tre (Mỏ Cày). Cây mọc tự nhiên trong rừng, ven rừng, ở độ cao 100m",0
"Lọng tía, Sổ bông vụ, Sổ hoa lớn",Dillenia turbinata Fin. et Gagnep.,0,Dilleniaceae,"Lá nhuận phế, trừ ho, lợi niệu, trị cảm mạo sinh ho, thủy thũng.","Sơn La, Vĩnh Phúc, Ninh Bình, Nghệ An, Đắk Lắk. Cây mọc tự nhiên rải rác trong rừng thưa.",I-II
"Ráng đại, Ráng biển",Acrostichum aureum L.,0,Pteridaceae,"Sát trùng, cầm máu, trừ giun.","Cây mọc tự nhiên ở bờ rạch, đầm nước mặn, ở rừng thứ sinh hay chân núi ven rừng rậm thường xanh, trong các khoảng cây bụi và trảng cỏ",0
"Chuối cô đơn, Chuối hoa sen, Chuối đùi voi",Ensete glaucum (Roxb.) Cheesm.,Musa glauca Roxb.,Chuối – Musaceae,"Chữa phù ở phụ nữ có thai, sưng đau ở chân (thân cây); mẩn ngứa, mụn nhọt (cả cây cùng với cuống lá và cụm hoa).","Sơn La, Hà Nội, Hòa Bình, Tây Ninh.",0
"Ngát lông, Ki gân",Gironniera nervosa Planch. – G. mollissima Gagnep.,0,Ulmaceae,"Rễ sắc nước uống chữa trẻ em cam còi ốm yếu, chân tay tê mềm yếu, chậm biết đi, chậm nói. Kinh nghiệm của nhân dân xã Đôn Phục, huyện Con Cuông, tỉnh Nghệ An.","Quảng Ninh (Ba Mùn), Vĩnh Phúc (Tam Đảo), Nghệ An (Con Cuông; Đôn Phục). Cây mọc tự nhiên trong rừng thưa, rừng phục hồi, ở độ cao tới 1000 m.",V-VI; 6-12
"Thanh giáp, Ha huỳnh, Lá dâng hoa",Helwingia himalaica Hook. f. et Thom. ex C.B. Clake,0,Helwingiaceae,"Sốt rét, điều kinh, đau dạ dày, phong thấp, đòn ngã tổn thương, cảm cúm, ho (cả cây).","Lao Cai, Hà Giang, Hòa Bình (Mai Châu, Pà Cò). Cây mọc tự nhiên trong rừng nguyên sinh hay rừng thưa, vùng núi đá vôi, ở độ cao 900-1600 m.",10
Củ ấu nước.,Trapa natans L. var. pumila Nakno,0,Ấu (Trapaceae),Cũng được dùng làm thuốc như loài Củ ấu.,"Hà Nội, Quảng Trị, Thừa Thiên Huế, Quảng Nam",0
Thục quỳ vàng,Abelmoschus manihot Medik. var. pungens (Roxb.) Hochr.,0,Malvaceae,"Lợi tiểu, sỏi niệu đạo, kích thích tiêu hoá (Hạt). Bó gãy xương, viêm tuyến nước bọt (Rễ, lá).","Lai Châu, Cao Bằng. Cây trồng lấy lá làm rau ăn.",IX-XI
Bích trai nhện,Cyanotis arachnoidea C. B. Clarke,0,Thài lài (Commelinaceae),"Viêm thận phù, trướng đau (cả cây).","Lâm Đồng, Ninh Thuận (Cà Ná). Cây mọc tự nhiên nơi ẩm ven rừng, ven suối, nơi tối ở vùng núi",0
Củ gấu biển,Cyperus stoloniferus Retz.,0,Họ thực vật: Cói (Cyperaceae),"Cũng được dùng như Củ gấu, song hiệu quả tốt hơn.",Từ Quảng Ninh đến Cà Mau. Cây mọc tự nhiên ở vùng cát ven biển.,3-12 
Dầu dấu lá đơn,Euodia simplicifolia Ridl. – E. viticina Wall. ex Kurz,0,Cam quýt –  Rutaceae.,Chữa viêm đại tràng do lỵ amip (Lá sắc đặc uống). Kinh nghiệm của dân xã Lưu Kiền huyện Tương Dương tỉnh Nghệ An.,"Sơn La ( Mai Sơn), Nghệ An (Tương Dương). Cây bụi mọc tự nhiên trên các đồi đất thấp, ven rừng.","Tháng V-VI, 7-11"
"Dung hoa chuỳ, Dung lá táo",Symplocos paniculata (Thunb.) Wall. ex D. Don – Prunus paniculata Thunb.,0,Dung (Symplocaceae.),"Chữa phát ban (Rễ). Đau mắt (Vỏ). Ở Trung Quốc, chữa cảm mạo, sốt rét, miệng khô, đau lưng, mỏi gối, sốt rét.","Miền Bắc miền Trung. Cây mọc tự nhiên, rải rác trong rừng thứ sinh, ven rừng, đồi hoang.",IV-VI
Vẹt trụ,Bruguiera cylindrica (L.) Blume – Rhizophora cylindrica L.,0,Rhizophoraceae,ỉa chảy (Vỏ).,Vũng Tàu. Cây mọc tự nhiên ở vùng ngập mặn ven biển.,V – VII; 10 – 11.
Bìm bìm tímTên gọi khác: Bìm ấn,Pharbitis indica (Burm.) Hagiwara – Convolvulus indica Burm.; Ipomoea congesta R. Br.,0,Bìm bìm (Convolvulaceae),"Bổ, kích dục, tăng tiết sữa (Củ).",Cây trồng làm cảnh vì có hoa màu đỏ đẹp,0
"Tắc kè đá, Cốt toái bổ",Drynaria bonii H. Christ,0,Polypodiaceae,"Phong thấp, cam tích, ứ huyết, bong gân, sai khớp, thận hư, ù tai (Thân rễ sắc hoặc ngâm rượu uống).","Rất rộng. Lào Cai, Cao Bằng, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên, thường bám trên đá, chủ yếu đá vôi, đôi khi trên cây gỗ trong rừng rậm thường xanh, nửa rụng lá và rụng lá.",V-VIII
"Dọc mùng, Môn to",Colocasia gigantea (Blume ex Hassk.) Hook.f. – Calladium giganteum Blume ex Hassk.,0,Ráy( Araceae),Chữa đầy bụng (Củ). Hen suyễn (Cuống lá). Cuống lá làm rau ăn.,"Cây trồng, còn có mọc hoang dại trên núi đá vôi ở nhiều nơi.",0
"Cỏ chân vịt, Bò xít, Duyên giao, Cúc chân vịt, Cây trứng vịt",Sphaeranthus africanus L.,0,Asteraceae.,"Bổ dạ dày, lợi tiểu, điều kinh, ho, viêm họng (Lá). Lá non luộc cho phụ nữ ăn sau khi đẻ để chóng lại sức và tăng tiết sữa.","Hải Phòng, Bắc Ninh, Hà Tây, Hà Nội, Nam Định, Ninh Bình tới Đồng Tháp. Cây mọc tự nhiên trên các ruộng đất bạc màu, chua phèn, ở độ cao dưới 100 m.",XII-II
Kinh giới nhăn,Elsholtzia rugulosa Hemsl.,0,Lamiaceae,"Chữa cảm cúm, viêm dạ dày, ruột, lỵ, ăn uống không tiêu, sản hậu đau bụng (cả cây).","Lào Cai, Hà Giang. Cây mọc tự nhiên ở vùng núi cao từ 1.300 – 2.800m.",IX-X; 11-12 
"Quan âm toạ liên, Móng trâu, Nưa ông, Tai voi, Toà sen cạp môi (Kho), Vó ngựa",Angiopteris evecta (Forst.) Hoffm.,0,Marattiaceae,"Đau dạ dày, ruột (Thân rễ sắc uống).","Lao Cai, Vĩnh Phúc (Tam Đảo), Hà Nội (Ba Vì), Hòa Bình, Quảng Bình, Quảng Trị, Kon Tum. Cây mọc tự nhiên dọc các khe suối trong rừng",0
Cuông lá nhám,Aralia dasyphylla Miq.,0,Họ Nhân sâm (Araliaceae),"Chữa viêm họng, thấp khớp, đòn ngã tổn thương (Rễ).","Lào Cai (Bản Nhai), Lạng Sơn, Gia Lai (Đắk Đoa), Lâm Đồng (Đà Lạt). Cây mọc tự nhiên rải rác ở ven rừng ở độ cao 700 m trở lên.",III-VIII
"Nghể phù, Nghể bụi",Polygonum caespitosum Blume,0,Polygonaceae,"Lỵ, viêm ruột, phong thấp (cả cây).","Lào Cai, Yên Bái, Hà Giang, Vĩnh Phúc, Ninh Bình, Kon Tum. Cây mọc tự nhiên ở nơi ẩm, bờ sông ngòi, nương rẫy, ruộng hoang, ở độ cao 100-1.600 m.",VIII-XI 
Phát lãnh công,Fissistigma petelotii Merr.,0,Annonaceae,Sốt rét (Rễ).,"Vĩnh Phúc, Hải Dương, Lạng Sơn. Cây mọc tự nhiên ven rừng nguyên sinh vùng núi đất.",III-VI; 6-10
"Vải guốc, Trường, Trường quánh",Xerospermum noronhianum (Blume) Blume – Euphoria noronhiana Blume,0,Sapindaceae,"Quả ăn được, có tác dụng chữa lỵ amíp.","Lai Châu, Sơn La, Cao Bằng, Thanh Hoá, Nghệ An, Bình Định, Kon Tum, Đồng Nai. Cây gỗ nhỏ, mọc rải rác trong rừng vùng núi đá vôi, thường ở độ cao 500 m.",0
"Lấu núi, Mạy cán cân",Psychotria montana Blume – Chasalia montana (Blume) Miq.,0,Rubiaceae,"Đắp vết loét và sưng, sốt, chứng lách to (cả cây đun nước tắm).","Hà Giang, Hà Nội (Ba Vì), Quảng Trị (Mai Lãnh). Cây mọc tự nhiên rải rác trong rừng, ở độ cao 600-700 m.",IV-V; 7-10 
"Củ cải đường.Tên gọi khác: Củ cải đỏ, Củ dền",Beta vulgaris L.,0,Họ thực vật: Rau muối (Chenopodiaceae),"Chữa sỏi thận, thuốc bổ dưỡng cho người già, kích thích ăn ngon miệng, là loài thuốc tốt cho người thiểu ngủ, mắc bệnh thần kinh, lao và ung thư. Lá đắp chữa bỏng, vết tím bầm, còn dùng cho người mắc bệnh đái đường (Củ).",Cây nhập trồng,0
Bình vôi,Stephania rotunda Lour. – S. glabra (Roxb.) Miers,0,Tiết dê (Menispermaceae),"An thần, trị sốt, lị, hen suyễn, đau dạ dày, mụn nhọt, ngứa lở ngoài da, còn dùng làm thuốc bồi bổ cho phụ nữ sau sinh đẻ (Rễ củ).",Ninh Bình (Đồng Giao). Cây mọc tự nhiên ở núi đá.,III-VIII
Thông nước,Glyptostrobus pensilis (Staunton ex D.Don) K.Koch – Thuja pensilis Staunt. ex D. Don,0,Taxodiaceae,"Mụn nhọt chảy nước, bỏng (Lá).","Đắk Lắk (Krong Pắc, Ea Hleo, Buôn Hồ). Cây mọc tự nhiên",0
"Thìa là, Hạc sắt, Phắc si (Tày), Sài lò (Dao)",Anetum graveolens L. – Peucedanum graveolens (L.) Benth. & Hook.f.,0,Apiaceae,"Chữa ho, lợi sữa, thông tiểu, bụng đầy trướng, nôn mửa, đau bụng, đau răng; cũng dùng chữa viêm thận, sỏi thận,sỏi bàng quang, huyết áp cao và chữa xơ cứng động mạch (cả cây sắc uống).",Cây trồng. Nguồn gốc từ miền Nam châu Âu hoặc Bắc Phi.,XII-II
Xà bì bắc bộ,Ophiopogon tonkinensis Rodr.,0,Convallariaceae,"Bổ phổi, chữa ho (cả cây).","Lao Cai, Hà Giang, Lạng Sơn, Quảng Ninh, Thái Nguyên. Cây mọc tự nhiên nơi đất ẩm, râm mát, trong rừng cây lá rộng thường xanh.",VII-III
Gừng tím,Distichochlamys orlowii K. Larsen & M. F. Newman,0,Gừng – Zingiberaceae,"Chữa đau lưng, tê thấp (thân rễ).","Hòa Bình (Khu Bảo tồn thiên nhiên Ngọc Sơn – Ngổ Luông), Thừa Thiên Huế (Bạch Mã), Gia Lai (An Khê).",Tháng 4 – 7. 
Đằng hoàng,Garcinia hanburyi Hook.f.,0,Bứa(Clusiaceae),Thuốc tẩy (Quả).,"Gia Lai, Lâm Đồng, Đồng Nai. Cây mọc tự nhiên trong rừng vùng lầy, ở độ cao dưới 1000 m.",VI-X
"Lan hài đốm, Hài gấm",Paphiopedilum concolor (Lindl.) Pfitz. – Cypripedium concolor Lindl.,0,Orchidaceae,"Chữa rắn cắn, ghẻ lở, đòn ngã tổn thương (cả cây).","Lào Cai, Quảng Ninh, Lạng Sơn, Hải Phòng. Cây mọc tự nhiên trong hốc đá trong rừng thưa, ở độ cao 100-900 m.",III-V
Trầm,Aquilaria malaccensis Lam. – A. agallocha Roxb.,0,Thymeleaceae,Cũng được dùng như trầm hương.,Miền Nam Việt Nam. Cây mọc rải rác trong rừng rậm thường xanh.,0
"Ba bét, Ba bét nhiều hoa",Mallotus ﬂoribundus (Blume) Muell. – Arg. – Adisca ﬂoribunda Blume,0,Euphorbiaceae,"Chữa sốt, đau dạ dày, ỉa chảy (Rễ). Lá còn nấu nước uống thay chè.","Thừa Thiên Huế, Quảng Nam, Đà Nẵng, Khánh Hoà. Cây mọc tự nhiên trong rừng thường xanh, trên đất sa phiến thạch, ở độ cao 100-500 m.",V-XII
Dương đài ngắn,Balanophora abbreviata Blume,0,Balanophoraceae,"Thuốc nhuận tràng. Thuốc sưng đau do đánh, ngã (cả cây).Cây mọc ký sinh trên cây gỗ.","Ninh Bình (Cúc Phương), Quảng Nam (Tây Giang). Cây ký sinh trên rễ, rải rác trong rừng nguyên sinh.",7-12
"Ba gạc, Tích tiên, La phu mộc, Lạc toọc, Sam tô (Tày), Co bóng nậm (Thái)",Rauvolfia verticillata (Lour.) Baill. – Dissolena verticillata Lour.; R. chinensis Hemsl.,0,Apocynaceae,"Thuốc hạ huyết áp, an thần, chữa lỵ (Vỏ rễ)","Lạng Sơn, Vĩnh Phúc (Tam Đảo), Ninh Bình, Hà Giang, Lao Cai. Cây mọc tự nhiên và cũng được trồng để làm thuốc.",IV-X
Sơn trâm gân lõm,Vaccinium impressinerve C.Y. Wu,0,Ericaceae,"Chữa phong thấp đau nhức gân xương (Thân, rễ sắc hoặc ngâm rượu uống. Kinh nghiệm của người H’ Mông tỉnh Hà Giang)",Hà Giang (Quản Bạ). Cây mọc tự nhiên trên khe núi đá,0
Dây củ chi rách.Tên gọi khác: Mã tiền hoa nách,Strychnos axillaris Colebr.,0,Mã tiền (Loganiaceae),"Cũng được dùng chữa chân tay co quắp, phong tê thấp (Vỏ).","Lai Châu, Sơn La, Đà Nẵng, Quảng Nam, Kon Tum, Khánh Hòa, Lâm Đồng. Cây mọc tự nhiên trong rừng thưa dựa suối, lùm bụi, ở độ cao tới 2000 m.",I-VIII; 6-12
"Quăng lông, Thôi chanh lá xôn",Alangium salviifolium ( L.f.) Wangerin,0,Alangiaceae,"Phong thấp đau xương, sốt, bệnh ngoài da, chống nôn (Rễ). Hen suyễn, ỉa chảy (Vỏ thân). Lợi trung tiện, trừ giun (Quả). Vỏ chữa sốt, bệnh ngoài da, chống nôn, hen suyễn, ỉa chảy.","Ninh Thuận (Phan Rang), Đồng Nai (Biên Hoà). Cây mọc rải rác trong rừng thường xanh, có 2 mùa mưa và khô rõ rệt, ở độ cao dưới 200 m.",4-5
Từ điểm tuyến.,Dioscorea subcalva Prain & Burk.,0,Dioscoreaceae,"Củ dùng làm thuốc có tác dụng kiện tì, khử ứ, bổ phổi, thận, chữa viêm gan mạn tính, giã đắp ngoài chữa vết thương.","Hà Giang (Phó Bảng). Cây mọc tự nhiên ven rừng, trong rừng mưa mùa, rừng lá rộng thường xanh",0
"Khế tàu, Khế ngọt, Khế đường",Averrhoa bilimbi L.,0,Oxalidaceae,"Chữa trĩ, bệnh Scorbut (Quả).",Nam Bộ. Cây trồng.,I-XII
"Bùi sung, Bùi da",Ilex ficoidea Hemsl.,0,Aquifoliaceae,"Chữa họng đau khô khát, ỉa chảy, đái đục (Lá).","Miền Trung, Tây Nguyên. Cây mọc tự nhiên, ưa sáng, mọc ở ven rừng",0
